Name,jelly,baseline,count,good,animal,stress,stroop,song,arithmetic,bad
8803,3,2,3,3,3,2,2,2,2,2
8804,3,2,2,2,2,3,1,1,1,3
8814,0,0,1,0,1.5,2,0,1,1,2
8829,0,0,0,0,0,0,3,3,3,3
8832,0,0,0,0,0,0,0,0,0,0
8840,0,0,0,1,1,2,2,2,2,2
8847,0,1,0,0,0,0,1,2,2,2
9933v2,0,0,0,0,0,1,1,1,1,1
9945v2,2,2,2,2,1,1,1,1,1,1
9973v2,2,2,2,2,2,1,1,1,1,1
9915v2,2,2,2,2,3,3,3,3,3,3
8876,0,0,0,0,0,0,0,0,0,0
8898,0,0,0,0,0,2,2,2,2,2
9913,0,0,0,0,0,0,0,0,0,0
8852,0,0,0,0,0,0,0,0,0,0
9915,0,0,0,0,0,0,0,0,0,0
9925,0,0,0,0,0,1,1,1,1,1
9929,1,1,1,0,0,0,0,0,0,0
9933,0,0,0,0,0,0,0,0,0,0
9941,0,0,0,0,0,0,0,0,0,0
9945,0,0,0,0,0,0,0,0,0,0
9948,0,0,0,0,0,1,1,1,1,1
9952,0,0,0,0,2,3,3,3,3,3
9956,0,0,0,0,0,0,0,0,0,0
9967,1,1,1,0,0,1,1,1,1,1
9969,1,1,1,0,1,2,2,2,2,2
9973,0,0,0,0,0,1,1,1,1,1
9984,0,0,0,0,0,1,1,1,1,1
9991,2,2,2,2,2,0,0,0,0,0