run_name,encoder,feature,model_family,pop_auc,sn_auc,delta_auc,pop_avg_precision,sn_avg_precision,delta_avg_precision,pop_balanced_accuracy,sn_balanced_accuracy,delta_balanced_accuracy,pop_sensitivity,sn_sensitivity,delta_sensitivity,pop_specificity,sn_specificity,delta_specificity,pop_mcc,sn_mcc,delta_mcc
run_gpu_families,dinov2,motion_prev_depth,tcn,0.6381943264895078,0.7171978431420669,0.07900351665255911,0.8349329479695774,0.8600104636932242,0.025077515723646804,0.5871361305206191,0.636015206975856,0.048879076455236925,0.5690541793775713,0.6904362718099157,0.12138209243234444,0.6052180816636671,0.5815941421417963,-0.023623939521870807,0.17254853781178175,0.26206729130150547,0.08951875348972371
run_gpu_families,imagebind,motion_prev_rgb,transformer_encoder,0.6396788650052723,0.7060899645707539,0.06641109956548163,0.8399785538727415,0.867998973851669,0.02802041997892757,0.5932377400762846,0.6334325664058612,0.040194826329576605,0.468230431517857,0.5063512474758914,0.03812081595803446,0.7182450486347123,0.7605138853358311,0.042268836701118806,0.1964059580579207,0.2561956012530173,0.05978964319509664
run_cpu_families,imagebind,motion_prev_rgb,rnn_attn,0.6366182163887059,0.692706525968856,0.0560883095801501,0.8418953917020829,0.8671492394666028,0.025253847764519888,0.6004047223810763,0.645594262900243,0.04518954051916668,0.433655453302242,0.48789283534126043,0.054237382039018456,0.7671539914599108,0.8032956904592256,0.03614169899931474,0.18913529461320328,0.2638079162028546,0.07467262158965132
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,0.630752181865916,0.6865992719103475,0.05584709004443156,0.8286380606111001,0.8567945278680071,0.028156467256907014,0.5936596157979847,0.630741042447568,0.03708142664958336,0.42742576171910407,0.4491440896789175,0.021718327959813433,0.7598934698768653,0.8123379952162185,0.052444525339353176,0.1974913564959969,0.24430683207147927,0.04681547557548238
run_cpu_families,dinov2,motion_prev_depth,rnn_attn,0.6453127572314643,0.697011076355517,0.05169831912405265,0.8257466437847487,0.8486400533284633,0.02289340954371455,0.5911181154139009,0.619903820115419,0.02878570470151809,0.5511337374775644,0.5668341670149185,0.015700429537354066,0.6311024933502374,0.6729734732159196,0.04187097986568222,0.17048882548228755,0.24989866936266064,0.07940984388037309
run_cpu_families,dinov2,motion_prev_rgb,attn_pool_mlp,0.6450706635750428,0.6963570601595359,0.05128639658449308,0.8300252232197807,0.8646410166456292,0.03461579342584853,0.5804361177554309,0.6437845737337433,0.0633484559783124,0.6235108735463786,0.6380282524597365,0.014517378913357915,0.5373613619644833,0.6495408950077501,0.11217953304326689,0.15984649730099781,0.25892023034451067,0.09907373304351286
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,0.638931063811828,0.688331503772452,0.04940043996062404,0.8384450778637463,0.8563741379701073,0.017929060106360972,0.5800344007710089,0.6486988234327183,0.06866442266170947,0.4589667260014334,0.5669168574880109,0.1079501314865775,0.7011020755405843,0.730480789377426,0.029378713836841652,0.14428970736494268,0.27224729732094277,0.1279575899560001
run_gpu_families,imagebind,motion_prev_depth,transformer_encoder,0.5477296297321816,0.5962273835404015,0.04849775380821986,0.7736970028236172,0.7977729267106068,0.024075923886989647,0.5392003425164279,0.5472747605916974,0.00807441807526954,0.3191703066727344,0.44766413383747805,0.12849382716474367,0.7592303783601213,0.6468853873459169,-0.11234499101420437,0.0822639787209003,0.10224071406416543,0.019976735343265134
run_gpu_families,omnivore,motion_prev_depth,tcn,0.601615588996944,0.6465607711987524,0.04494518220180843,0.8184867466836522,0.8318424209227023,0.013355674239050153,0.5565655375230496,0.5823321771071608,0.025766639584111184,0.5384978661400319,0.6594560990999613,0.12095823295992936,0.5746332089060673,0.5052082551143602,-0.0694249537917071,0.11370604292057185,0.1700790292849296,0.05637298636435775
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,0.5540272087498788,0.5961074252279924,0.04208021647811366,0.7704977334178894,0.7970528349913961,0.026555101573506712,0.5369892585726583,0.5483333626529514,0.011344104080293071,0.23560391478650847,0.2546763776715849,0.01907246288507644,0.8383746023588083,0.8419903476343181,0.003615745275509785,0.07505138765864702,0.09574848690807448,0.02069709924942746
run_cpu_families,omnivore,motion_prev_rgb,attn_pool_mlp,0.641882393861118,0.6793245606585339,0.037442166797415855,0.8278502681890743,0.8418632676946316,0.014012999505557344,0.5847047436295404,0.5960786422706725,0.01137389864113214,0.6685195060607292,0.7553610143043719,0.08684150824364267,0.5008899811983516,0.43679627023697315,-0.06409371096137845,0.15977346302867992,0.18690534468386635,0.02713188165518643
run_gpu_families,dinov2,motion_prev_rgb,transformer_encoder,0.6535839941530742,0.6882247393996389,0.034640745246564686,0.834754715545151,0.8555185979044987,0.020763882359347674,0.6020112279531731,0.6296407918086477,0.02762956385547466,0.6260471991373912,0.6416000410443745,0.015552841906983361,0.5779752567689549,0.6176815425729211,0.03970628580396618,0.20359858599382835,0.25171096487906386,0.04811237888523551
run_gpu_families,dinov2,motion_prev_depth,transformer_encoder,0.6335116854403482,0.6671021464882175,0.033590461047869336,0.8259116658559332,0.8473424672386327,0.021430801382699483,0.5862479013058555,0.592111142151267,0.005863240845411566,0.6138948068940779,0.6317726038381367,0.017877796944058777,0.5586009957176329,0.5524496804643972,-0.006151315253235645,0.1872969069853685,0.17598404370362644,-0.011312863281742053
run_cpu_families,omnivore,motion_prev_depth,rnn_attn,0.6081766467990466,0.6404972220597397,0.032320575260693096,0.8074582908458338,0.8192161144545531,0.011757823608719353,0.5783724481372408,0.5943516917629643,0.01597924362572356,0.5628217402195168,0.6825870192374995,0.11976527901798273,0.5939231560549647,0.5061163642884291,-0.08780679176653561,0.153984291276344,0.17571781271735737,0.02173352144101337
run_gpu_families,imagebind,motion_prev_rgb,tcn,0.6460226997271542,0.6782870905903213,0.032264390863167125,0.8428680319328311,0.8423510443321167,-0.0005169876007143914,0.5868107980590408,0.6196813628280861,0.03287056476904526,0.44175685344668325,0.4244582765631228,-0.017298576883560457,0.7318647426713983,0.8149044490930493,0.08303970642165093,0.17011834893923686,0.22118435466081704,0.05106600572158018
run_cpu_families,omnivore,motion_prev_depth,attn_pool_mlp,0.5807805249544626,0.6123321940673305,0.031551669112867886,0.7968072388334908,0.8185672333652784,0.021759994531787563,0.5643680292756585,0.5678331882730873,0.003465158997428719,0.5349848126634689,0.6286761844405906,0.09369137177712172,0.5937512458878481,0.5069901921055839,-0.08676105378226417,0.1267794035538719,0.12397697849979808,-0.002802425054073826
run_gpu_families,omnivore,motion_prev_depth,transformer_encoder,0.6317778523778426,0.6595519681678967,0.027774115790054177,0.8264654465433636,0.8439103728060845,0.017444926262720872,0.562942555226248,0.6044357234049318,0.04149316817868376,0.5719697205654921,0.6282033073481249,0.056233586782632794,0.5539153898870041,0.5806681394617388,0.026752749574734724,0.1267472035706878,0.1956757453230964,0.06892854175240859
run_gpu_families,omnivore,motion_prev_rgb,tcn,0.6232615919307241,0.6499536173275535,0.026692025396829466,0.8232510008707822,0.822649135458672,-0.0006018654121101585,0.5844118849786637,0.6006373716449002,0.016225486666236466,0.5382947953392317,0.5821277670529221,0.04383297171369038,0.6305289746180957,0.6191469762368781,-0.011381998381217562,0.15084772152936693,0.18858935637160038,0.037741634842233446
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,0.549829884555331,0.5699814738009166,0.020151589245585577,0.7766735995635424,0.7873977077938895,0.010724108230347085,0.5347961301488839,0.5412371421973867,0.006441012048502781,0.509636321138897,0.5844482428945728,0.07481192175567575,0.5599559391588707,0.49802604150020063,-0.06192989765867002,0.06843266476381826,0.07960441314372906,0.011171748379910793
run_cpu_families,dinov2,motion_prev_depth,attn_pool_mlp,0.6382373360075028,0.6543793797041348,0.01614204369663208,0.8319140443380506,0.836088808930687,0.004174764592636437,0.5864527124444623,0.5792021207983498,-0.007250591646112525,0.6076064479599328,0.7549328246332341,0.14732637667330128,0.5652989769289917,0.40347141696346556,-0.1618275599655261,0.1606370423651641,0.19138201419350978,0.03074497182834568
run_gpu_families,dinov2,motion_prev_rgb,tcn,0.664934871239023,0.6801869415066817,0.015252070267658735,0.8511418122709593,0.8540927259143227,0.0029509136433634175,0.6152219447779878,0.6276969107651424,0.012474965987154696,0.4765600790617694,0.4702061629556907,-0.006353916106078716,0.7538838104942062,0.7851876585745943,0.03130384808038811,0.21118217207255965,0.23066270498282412,0.01948053291026447
run_gpu_families,omnivore,motion_prev_rgb,transformer_encoder,0.6219948497208032,0.6273694156073072,0.005374565886503979,0.8141232131207905,0.8280307660126098,0.01390755289181933,0.5812037635740865,0.5969943256606525,0.01579056208656593,0.6285267422975532,0.541308822773443,-0.08721791952411018,0.5338807848506198,0.6526798285478618,0.11879904369724192,0.14789301088299095,0.17196157480049074,0.024068563917499786
run_cpu_families,omnivore,motion_prev_rgb,rnn_attn,0.6403176528860504,0.6317317822574876,-0.008585870628562753,0.8203191542723106,0.822598188568534,0.0022790342962233368,0.5892539462472538,0.5821419774581621,-0.007111968789091705,0.659509647722915,0.6669183697156085,0.00740872199269349,0.5189982447715925,0.4973655852007157,-0.02163265957087679,0.16883877419828316,0.15314752886378294,-0.015691245334500226
run_gpu_families,imagebind,motion_prev_depth,tcn,0.5270589555974341,0.5157237808796867,-0.011335174717747365,0.7695824405855585,0.7567229019954802,-0.012859538590078268,0.5174715760258074,0.5097087040203198,-0.007762872005487642,0.4088414369868449,0.31919167487668904,-0.08964976211015585,0.62610171506477,0.7002257331639503,0.07412401809918034,0.03693475663402996,0.020425618273704614,-0.016509138360325346
